dataset	repository	revision	compressed_file	compressed_bytes	compressed_sha256	expanded_file	expanded_bytes	expanded_sha256
PushT	quentinll/lewm-pusht	655cd446b9929369d7d406001da85c15d1457850	pusht_expert_train.h5.zst	13136247974	7cfbd6d90fa2f27876379a5ff169715a36ed82edbda64f9e5b5bfa34d212f318	pusht_expert_train.h5	46300921856	b6ebd9ac94bbe9e383f6e7a9cd92d74e9aa665ea57b758ed3717b0ee7df8d4fb
Cube	quentinll/lewm-cube	02a19a67a0dc8c9d6215f89c19e0a597691e152a	cube_single_expert.tar.zst	46184624478	3725d6a01abd492164441ef0a27e588f52b94a118fab56b96987b1a34a6c2600	cube_single_expert.h5	101942558720	0664d507c4ff12009010644c9ae950836f954e700c172ccf22e7423af1a55625
